driverId,driverScore,driveDistanceMeters,driveTimeMilliseconds,count_obstructedCamera,count_mobileUsage,count_noSeatbelt,count_distractedDrivingAutomatic,count_followingDistance,count_drowsy,count_braking,count_defensiveDriving,count_harshTurn,count_crash,scoreImpact_obstructedCamera,scoreImpact_mobileUsage,scoreImpact_noSeatbelt,scoreImpact_distractedDrivingAutomatic,scoreImpact_followingDistance,scoreImpact_drowsy,scoreImpact_braking,scoreImpact_defensiveDriving,scoreImpact_harshTurn,scoreImpact_crash,durationMilliseconds_maxSpeed,scoreImpact_maxSpeed,MaxSpeed_coached,Drowsy_coached,MobileUsage_coached,NoSeatbelt_coached,Braking_coached,ObstructedCamera_coached,DefensiveDriving_coached,HarshTurn_coached,driverName,tagId,tagName,parentTagId,parentTagName,fecha_corte
53685717,54,3141695,170536328,0,27,4,0,0,0,0,0,0,0,0.0,-41.492526804798075,-2.049013669372743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722077,-2.117076779089555,0,0,0,0,0,0,0,0,RESMIG,7353098,MeLi Dedicado TD,4363967,EC-05,2026-05-17T23:59:59.000000
53685722,82,4975193,230084494,0,8,2,0,0,4,0,0,0,0,0.0,-7.763368375859991,-0.6469473646549994,0.0,0.0,-6.469473646549993,0.0,0.0,0.0,0.0,1519902,-3.3029214041690267,0,0,0,0,0,0,0,0,LEOJAV,7353098,MeLi Dedicado TD,4363967,EC-05,2026-05-17T23:59:59.000000
53685734,95,2947193,155856864,0,3,0,0,0,0,0,0,0,0,0.0,-4.914539359994408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,REYRUB,4363972,MeLi Asignado,4363967,EC-05,2026-05-17T23:59:59.000000
53685760,98,4414158,398304728,0,0,4,0,0,0,0,0,0,0,0.0,0.0,-1.4583474356830908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358016,-0.44942474295710594,0,0,0,0,0,0,0,0,GARMAR05,5138742,Mabe Componentes,5021095,EC-10,2026-05-17T23:59:59.000000
53685775,61,2377469,250118490,0,9,0,0,0,4,1,0,1,0,0.0,-18.276700137835658,0.0,0.0,0.0,-13.538296398396785,-3.384574099599196,0.0,-3.384574099599196,0.0,0,0.0,0,0,0,0,0,0,0,0,JORJON,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53685793,94,1924449,223372444,0,1,4,0,0,0,0,0,0,0,0.0,-2.5087866708860567,-3.345048894514742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,CHAJUA01,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53685795,95,911081,114612767,0,1,0,0,0,0,0,0,0,0,0.0,-5.299234645437672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,PATRAM,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53685806,83,679361,81227880,0,1,4,0,0,0,0,0,0,0,0.0,-7.106725290383169,-9.475633720510892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,SANCAR01,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53685810,100,1980406,257928655,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,SANDAN,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53685820,24,1759336,145082338,0,15,28,0,0,1,1,0,0,0,0.0,-41.16352987718094,-25.612863034690342,0.0,0.0,-4.573725541908993,-4.573725541908993,0.0,0.0,0.0,30011,-0.10342747578275173,0,1,4,8,1,0,0,0,REYVI01,7353084,Patieros Sucursal,4363966,EC-03,2026-05-17T23:59:59.000000
53685827,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,TAMDAV,7353092,Sayer Patios y T.,4363965,EC-02,2026-05-17T23:59:59.000000
53685836,20,4995021,245190704,2,28,29,0,0,0,1,0,0,0,-32.218963643996695,-27.063929460957205,-9.343499456759044,0.0,0.0,0.0,-1.6109481821998348,0.0,0.0,0.0,4710435,-9.605655767438884,14,0,8,10,0,0,0,0,SOSCA01,4357030,Sayer Sencillo,4363965,EC-02,2026-05-17T23:59:59.000000
53685838,0,4079585,229946352,4,13,30,2,0,0,2,0,0,0,-78.89743687164258,-15.385000189970299,-11.83461553074638,-0.31311651336830076,0.0,0.0,-3.9448718435821286,0.0,0.0,0.0,11397157,-24.782208764938353,77,0,3,10,1,0,0,0,OLVOSX,7353095,Sayer Vuelteros,4363965,EC-02,2026-05-17T23:59:59.000000
53685841,0,5104212,257713533,7,7,34,0,0,0,0,0,0,0,-110.35403701883857,-6.621242221130314,-10.720106453258603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139734,-2.211242046027905,5,0,4,15,0,1,0,0,ZAPNO,7353091,Sayer Full,4363965,EC-02,2026-05-17T23:59:59.000000
53685842,26,4029700,225287463,1,43,5,2,0,0,0,0,0,0,-19.96853363773978,-51.518816785368664,-1.9968533637739783,-0.31959168540150856,0.0,0.0,0.0,0.0,0.0,0.0,214083,-0.47513296379035524,2,0,13,3,0,1,0,0,DURMA01,7353091,Sayer Full,4363965,EC-02,2026-05-17T23:59:59.000000
53685932,92,4086574,219919112,0,2,11,0,0,0,0,0,0,0,0.0,-2.362875112502551,-4.331937706254678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491405,-1.1172403242515818,0,0,0,0,0,0,0,0,JUAPOR,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
53719948,82,4552217,237974608,0,11,12,0,0,0,0,0,0,0,0.0,-11.6664807499291,-4.242356636337854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102083,-2.3155474637865567,0,0,0,0,0,0,0,0,MARULI,4357030,Sayer Sencillo,4363965,EC-02,2026-05-17T23:59:59.000000
53719988,48,1477039,122409463,0,8,12,0,0,0,1,0,0,0,0.0,-26.149787514073758,-13.074893757036882,0.0,0.0,0.0,-5.447872398765368,0.0,0.0,0.0,1781244,-7.275761025109636,0,0,1,0,0,0,0,0,PALPED,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
